date,source,mean_sst,site
2000-05-16,ESACCI,18.476835588758,OL
2000-05-16,METOFFICE,NA,OL
2000-05-17,ESACCI,18.4818355886462,OL
2000-05-17,METOFFICE,NA,OL
2000-05-18,ESACCI,18.4473619052062,OL
2000-05-18,METOFFICE,NA,OL
2000-05-19,ESACCI,18.389730327547,OL
2000-05-19,METOFFICE,NA,OL
2000-05-20,ESACCI,18.2407829624552,OL
2000-05-20,METOFFICE,NA,OL
2000-05-21,ESACCI,18.0581513875899,OL
2000-05-21,METOFFICE,NA,OL
2000-05-22,ESACCI,17.9039408647211,OL
2000-05-22,METOFFICE,NA,OL
2000-05-23,ESACCI,18.7102566361722,OL
2000-05-23,METOFFICE,NA,OL
2000-05-24,ESACCI,18.739467161835,OL
2000-05-24,METOFFICE,NA,OL
2000-05-25,ESACCI,18.7534145299443,OL
2000-05-25,METOFFICE,NA,OL
2000-05-26,ESACCI,18.9839408405812,OL
2000-05-26,METOFFICE,NA,OL
2000-05-27,ESACCI,19.0220987344651,OL
2000-05-27,METOFFICE,NA,OL
2000-05-28,ESACCI,19.0394671551295,OL
2000-05-28,METOFFICE,NA,OL
2000-05-29,ESACCI,18.9128882105904,OL
2000-05-29,METOFFICE,NA,OL
2000-05-30,ESACCI,18.8044671603822,OL
2000-05-30,METOFFICE,NA,OL
2000-05-31,ESACCI,18.6952566365075,OL
2000-05-31,METOFFICE,NA,OL
2000-06-01,ESACCI,19.3763092528637,OL
2000-06-01,METOFFICE,NA,OL
2000-06-02,ESACCI,19.6139408264996,OL
2000-06-02,METOFFICE,NA,OL
2000-06-03,ESACCI,19.4797303031836,OL
2000-06-03,METOFFICE,NA,OL
2000-06-04,ESACCI,20.0278881856682,OL
2000-06-04,METOFFICE,NA,OL
2000-06-05,ESACCI,20.193151339869,OL
2000-06-05,METOFFICE,NA,OL
2000-06-06,ESACCI,20.1760460770934,OL
2000-06-06,METOFFICE,NA,OL
2000-06-07,ESACCI,20.1776250244266,OL
2000-06-07,METOFFICE,NA,OL
2000-06-08,ESACCI,19.8123618746961,OL
2000-06-08,METOFFICE,NA,OL
2000-06-09,ESACCI,19.6452566152733,OL
2000-06-09,METOFFICE,NA,OL
2000-06-10,ESACCI,19.56788819595,OL
2000-06-10,METOFFICE,NA,OL
2000-06-11,ESACCI,19.6818355618241,OL
2000-06-11,METOFFICE,NA,OL
2000-06-12,ESACCI,19.7828881911444,OL
2000-06-12,METOFFICE,NA,OL
2000-06-13,ESACCI,19.8199934534729,OL
2000-06-13,METOFFICE,NA,OL
2000-06-14,ESACCI,20.1720987087606,OL
2000-06-14,METOFFICE,NA,OL
2000-06-15,ESACCI,20.347098704849,OL
2000-06-15,METOFFICE,NA,OL
2000-06-16,ESACCI,20.4786776492764,OL
2000-06-16,METOFFICE,NA,OL
2000-06-17,ESACCI,20.3042039689657,OL
2000-06-17,METOFFICE,NA,OL
2000-06-18,ESACCI,20.272888180192,OL
2000-06-18,METOFFICE,NA,OL
2000-06-19,ESACCI,20.3068355478543,OL
2000-06-19,METOFFICE,NA,OL
2000-06-20,ESACCI,20.3155197581865,OL
2000-06-20,METOFFICE,NA,OL
2000-06-21,ESACCI,20.3002566006329,OL
2000-06-21,METOFFICE,NA,OL
2000-06-22,ESACCI,20.1239408151002,OL
2000-06-22,METOFFICE,NA,OL
2000-06-23,ESACCI,20.0273618698905,OL
2000-06-23,METOFFICE,NA,OL
2000-06-24,ESACCI,21.478151311147,OL
2000-06-24,METOFFICE,NA,OL
2000-06-25,ESACCI,21.4913092055897,OL
2000-06-25,METOFFICE,NA,OL
2000-06-26,ESACCI,21.5268355205852,OL
2000-06-26,METOFFICE,NA,OL
